Id,sasa,eig_wt_final_sym,modularity_class
129,6.1496,0.000369,4
909,5.982569,0.000369,0
8,6.013378,0.000367,1
327,5.336138,0.000365,0
1186,5.269362,0.000358,0
875,6.246177,0.000356,0
638,6.073926,0.000354,0
425,4.918543,0.000354,0
378,5.627971,0.000352,0
278,6.163172,0.00035,3
654,6.053241,0.000349,0
600,6.187091,0.000348,4
337,5.193481,0.000348,0
1154,6.416698,0.000346,0
456,5.836811,0.000345,0
672,6.175368,0.000341,0
438,5.849483,0.000338,3
586,5.428581,0.000336,0
73,5.841674,0.000335,0
1194,6.209185,0.000332,1
398,6.257497,0.00033,4
34,5.595618,0.000329,1
294,6.083032,0.000327,1
16,6.456889,0.000327,0
186,5.568172,0.000325,1
720,5.981166,0.000323,3
579,5.479559,0.000322,1
953,6.231326,0.000318,0
1054,6.329785,0.000314,3
657,5.544573,0.00031,4
651,6.13962,0.000309,4
156,5.75144,0.000307,0
204,6.018475,0.000306,1
774,6.203469,0.000306,0
1162,5.417456,0.000305,1
767,5.994501,0.000301,3
538,5.681099,0.000297,0
982,6.149019,0.00029,1
416,5.497541,0.000286,2
736,5.182812,0.000286,0
162,5.862752,0.000284,4
265,6.085273,0.000284,0
567,6.041759,0.000283,1
626,5.898248,0.000278,4
139,5.567903,0.000275,0
279,5.90932,0.000271,0
781,5.585433,0.000262,2
462,6.41906,0.000261,0
851,6.032458,0.000261,1
50,6.06155,0.00026,4
295,6.049479,0.000258,1
356,6.029334,0.000256,3
234,6.08757,0.000253,0
60,6.442293,0.000253,0
0,5.994724,0.000251,3
318,6.050921,0.000249,0
180,6.127879,0.000249,1
1079,6.39914,0.000249,4
17,6.1395,0.000248,4
860,6.100071,0.000244,0
683,5.163714,0.000243,0
1133,5.814331,0.000241,3
539,6.056714,0.000239,0
360,6.193387,0.000238,4
1090,6.212416,0.000235,4
486,6.43201,0.000233,0
633,5.140157,0.000232,0
44,6.031434,0.00023,3
266,5.57911,0.00023,4
723,6.260574,0.000225,0
734,6.299585,0.000224,3
41,6.059144,0.000221,4
184,5.854558,0.00022,0
656,5.936859,0.000217,4
592,5.602125,0.000215,1
1088,5.09893,0.000213,0
973,6.001579,0.000209,3
15,6.015582,0.000209,3
102,6.035297,0.000209,3
499,6.152034,0.000208,3
179,6.29021,0.000203,3
209,6.301934,0.000203,3
1040,5.473102,0.000198,1
921,4.306601,0.000198,0
737,6.275421,0.000196,4
620,5.863224,0.000196,0
